text,rate,number,rank,inform_tip
天元突破 红莲螺岩,8.6,(4671人评分),22,"
27话 / 2007年4月1日 "
凉宫春日的消失,8.6,(7872人评分),23,"
1话 / 2010年2月6日 / 武本康弘 / 谷川流 / 池田晶子 "
水星领航员 The AVVENIRE,8.7,(555人评分),24,"
3话 / 2015年9月26日 / 佐藤順一 / 天野こずえ "
命运石之门,8.6,(11403人评分),25,"
25话 / 2011年4月6日 / 佐藤卓哉、浜崎博嗣、小林智樹(第25話) / 坂井久太 "
千与千寻,8.5,(7422人评分),26,"
1话 / 2001年7月20日 / 宮崎駿 "
大闹天宫,8.6,(2074人评分),27,"
1961年 / 万籁鸣、唐澄 / 西游记 "
蜂蜜与四叶草,8.5,(3045人评分),28,"
24话 / 2005年4月14日 / カサヰケンイチ / 羽海野チカ / 島村秀一 "
千年女优,8.5,(3425人评分),29,"
1话 / 2001年7月28日 (Fantasia International Film Festival)、2002年9月14日 (日本) / 今敏 / 本田雄、今敏 "
虫师 续章 第2期,8.6,(1546人评分),30,"
10话 / 2014年10月18日 "
海贼王,8.5,(5334人评分),31,"
1999年10月20日 / 宇田鋼之介、志水淳児→境宗久→宮元宏彰 / 尾田栄一郎 / 小泉昇→久田和也 "
蜂蜜与四叶草II,8.5,(2191人评分),32,"
12话 / 2006年6月29日 / 長井龍雪 / 羽海野チカ / 島村秀一 "
混沌武士,8.5,(3293人评分),33,"
26话 / 2004年5月19日 / 渡辺信一郎 "
虫师 续章,8.5,(2036人评分),34,"
12话 / 2014年4月4日 / 長濵博史 / 漆原友紀 / 馬越嘉彦 "
瑞克和莫蒂 第三季,8.6,(496人评分),35,"
10话 / 2017-04-01 / Justin Roiland、Dan Harmon "
天空之城,8.5,(4884人评分),36,"
1986年8月2日 / 宮崎駿 "
瑞克和莫蒂 第二季,8.6,(609人评分),37,"
10话 / 2015-07-26 / Justin Roiland、Dan Harmon "
机动警察 和平保卫战,8.5,(620人评分),38,"
1993年8月7日 / 押井守 "
攻壳机动队2.0,8.5,(1420人评分),39,"
2008年7月12日 / 押井守 "
哆啦A梦 大山版,8.5,(521人评分),40,"
1787话 / 1979年4月2日 "
排球少年 乌野高校 VS 白鸟泽学园高校,8.5,(1518人评分),41,"
10话 / 2016年10月7日 / 満仲勧 / 古舘春一（集英社「週刊少年ジャンプ」連載） "
四叠半神话大系,8.4,(4056人评分),42,"
11话 / 2010年4月22日 / 湯浅政明 / 森見登美彦 / 伊東伸高 "
莉兹与青鸟,8.4,(1778人评分),43,"
1话 / 2018年4月21日 / 山田尚子 / 武田綾乃（宝島社文庫「響け！ユーフォニアム 北宇治高校吹奏楽部、波乱の第二楽章」） / 西屋太志 "
少女与战车 剧场版,8.4,(2700人评分),44,"
1话 / 2015年11月21日 / 水島努 / 杉本功 "
机动战士Z高达,8.4,(1238人评分),45,"
50话 / 1985年3月2日 / 富野由悠季 / 矢立肇 / 安彦良和 "
CLANNAD,8.4,(8536人评分),46,"
23话 / 2007年10月4日 "
魔法少女小圆,8.4,(11830人评分),47,"
12话 / 2011年1月6日 / 新房昭之 / Magica Quartet / 岸田隆宏 "
盗梦侦探,8.4,(3390人评分),48,"
1话 / 2006年11月25日 / 今敏 / 筒井康隆 "
机动战士高达0080 口袋里的战争,8.4,(1500人评分),49,"
6话 / 1989年3月25日 / 高山文彦 / 矢立肇、富野由悠季 / 美樹本晴彦 "
死亡笔记,8.4,(6615人评分),50,"
37话 / 2006年10月4日 / 荒木哲郎 / 大場つぐみ、小畑健 "
幽灵公主,8.4,(3729人评分),51,"
1话 / 1997年7月12日 "
昭和元禄落语心中 -助六再临篇-,8.4,(890人评分),52,"
12话 / 2017年1月6日 / 畠山守(小俣真一) / 雲田はるこ「昭和元禄落語心中」（講談社「ITAN」連載） "
空之境界 第五章 矛盾螺旋,8.4,(4997人评分),53,"
1话 / 2008年8月16日 / 平尾隆之 / 奈須きのこ "
瑞克和莫蒂 第一季,8.4,(709人评分),54,"
11话 / 2013-12-02 / Justin Roiland、Dan Harmon "
怪物,8.4,(1518人评分),55,"
74话 / 2004年4月6日 "
攻壳机动队 S.A.C. Solid State Society,8.4,(1479人评分),56,"
1话 / 2006年9月1日 "
歌牌情缘2,8.4,(2365人评分),57,"
25话 / 2013年1月11日 / 浅香守生 / 末次由紀（講談社「BE・LOVE」連載） "
百变之星,8.4,(814人评分),58,"
51话 / 2003年4月3日 / 佐藤順一、平池芳正（第27话以后） "
JOJO的奇妙冒险 星尘斗士 埃及篇,8.4,(2684人评分),59,"
24话 / 2015年1月9日 "
少女革命,8.4,(1494人评分),60,"
39话 / 1997年4月2日 "
风之谷,8.3,(3213人评分),61,"
1话 / 1984年3月11日 / 宮崎駿 "
新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,8.4,(2087人评分),62,"
3话 / 1998年3月7日 / 庵野秀明 "
排球少年 第二季,8.4,(1733人评分),63,"
25话 / 2015年10月3日 / 古舘春一（集英社「週刊少年ジャンプ」連載） "
星空清理者,8.4,(1701人评分),64,"
26话 / 2003年10月4日 "
乒乓,8.3,(3849人评分),65,"
11话 / 2014年4月10日 "
