text,author,tags
攻壳机动队 笑面男,153,8.2
老人与海,154,8.2
心灵游戏,155,8.1
海马,156,8.1
夏目友人帐 肆,157,8.1
宇宙战舰大和号2199,158,8.1
怪诞小镇 第二季,159,8.3
穿越时空的少女,160,8.1
欢迎加入NHK！,161,8.1
山水情,162,8.3
NO GAME NO LIFE ZERO,163,8.1
夏日大作战,164,8.1
吊带袜天使,165,8.1
回忆积木小屋,166,8.1
攻壳机动队 个别的十一人,167,8.2
超时空要塞 可曾记得爱,168,8.1
百变之星 不死鸟传说 ～蕾拉・汉密尔顿物语～,169,8.2
寒蝉鸣泣之时,170,8.1
狼的孩子雨和雪,171,8.1
一拳超人,172,8.1
