text,rate,number,rank,inform_tip
剧场版 吸血鬼仆人 Alice in the Garden,,,,"
2018年4月7日 / 田中ストライク「月刊コミックジーン」連載（KADOKAWA刊） "
鬼灯的冷彻 第二季 其之二,7.2,(39人评分),,"
13话 / 2018年4月7日 / 米田和弘 / 江口夏実（講談社「モーニング」連載） "
魔性之线DEVIL'S LINE,5.8,(52人评分),3486,"
2018年4月7日 / 中野英明 / 花田陵「デビルズライン」（モーニング・ツー / 講談社） / 川口千里 "
刀剑神域 Alternative Gun Gale Online,7.0,(212人评分),1765,"
12话 / 2018年4月7日 "
敦君与女朋友,5.3,(55人评分),3985,"
2018年4月6日 / 片貝慎 / 杜若わか「あっくんとカノジョ」（月刊コミックジーン / KADOKAWA） / 谷口元浩 "
魔法少女网站,5.9,(119人评分),3890,"
12话 / 2018年4月6日 / 松林唯人 / 佐藤健太郎『魔法少女サイト』（秋田書店「週刊少年チャンピオン」連載） "
做得很好！名作君 第三季,,,,"
2018年4月6日 / Pie in the sky / JUN OSON "
信长的忍者 姊川·石山篇,7.2,(27人评分),,"
2018年4月6日 / 大地丙太郎 / 重野なおき（白泉社ヤングアニマル連載） / 山中純子 "
钱进球场,7.0,(54人评分),1688,"
2018年4月6日 / 渡辺歩 / 森高夕次(コージィ城倉)、アダチケイジ「グラゼニ」（モーニング / 講談社） / 大貫健一 "
黑社会的超能力女儿,7.1,(341人评分),1725,"
12话 / 2018年4月6日 / 及川啓 / 大武政夫「ヒナまつり」（ハルタ / KADOKAWA） / 神本兼利 "
闪电十一人 阿瑞斯的天平,,(少于10人评分),,"
2018年4月6日 "
裏・受胎島,3.9,(16人评分),,"
2话 / 2018-04-06 "
テレビ野郎 ナナーナ,,,,"
2018年4月6日 / 文原聡 "
失忆融合WIXOSS,6.7,(22人评分),,"
12话 / 2018年4月6日 / LRIG "
ケッケロケー,,,,"
2018年4月5日 / カフカエミリ/MMDGP "
Comic Girls,6.8,(147人评分),2188,"
12话 / 2018年4月5日 / 徳本善信 / はんざわかおり（芳文社・まんがタイムきららMAX連載） / 齊藤佳子 "
うさぎのマシュー,,,,"
2018年4月5日 / QUAN/MMDGP "
Megalo Box,7.9,(285人评分),349,"
12话 / 2018年4月5日 / 森山洋 "
见习神明 秘密的心灵 第3部,,,,"
2018年4月5日 / 大河しのぶ "
猫与桃花源,,(少于10人评分),,"
2018年4月5日 / 王微 "
罪人与龙共舞,5.3,(32人评分),,"
12话 / 2018年4月5日 / 花井宏和 / 浅井ラボ（小学館「ガガガ文庫」刊） "
多田君不恋爱,6.8,(182人评分),2389,"
12话 / 2018年4月5日 "
偶像活动Friends,7.6,(12人评分),,"
2018年4月5日 "
ALICE or ALICE,5.8,(122人评分),3954,"
12话 / 2018年4月4日 / 小林浩輔 / 梱枝りこ『ありすorありす～シスコン兄さんと双子の妹～』 / 桑原直子 "
我家大师兄脑子有坑,5.7,(22人评分),,"
26话 / 2018年4月4日 / 辛阔 "
我们是妖怪人间G,,,,"
2018年4月4日 / 安達譲 / アサツー ディ・ケイ "
猫猫日本史 第三季,,,,"
2018年4月4日 "
