text,rate,number,rank,inform_tip
百变之星 不死鸟传说 ～蕾拉・汉密尔顿物语～,8.2,(258人评分),169,"
1话 / 2006年1月27日 "
寒蝉鸣泣之时,8.1,(4829人评分),170,"
26话 / 2006年4月4日 / 今千秋 / 竜騎士07 / 07th Expansion "
狼的孩子雨和雪,8.1,(2927人评分),171,"
1话 / 2012年7月21日 / 細田守 / 細田守 / 貞本義行 "
一拳超人,8.1,(4162人评分),172,"
12话 / 2015年10月4日 "
奇诺之旅,8.1,(1550人评分),173,"
13话 / 2003年4月8日 / 中村隆太郎 "
妄想代理人,8.1,(1544人评分),174,"
13话 / 2004年2月2日 / 今敏 / 今敏 / 安藤雅司 "
伤物语III 冷血篇,8.1,(1046人评分),175,"
1话 / 2017年1月6日 "
黑礁 The Second Barrage,8.1,(2112人评分),177,"
12话 / 2006年10月2日 / 片渕須直 / 広江礼威（小学館刊『月刊サンデージェネックス』連載） "
机动战士高达 THE ORIGIN,8.1,(438人评分),178,"
6话 / 2015年4月24日 "
空之境界 第三章 痛觉残留,8.0,(4131人评分),179,"
1话 / 2008年2月9日 / 小船井充 "
全金属狂潮 Invisible Victory,8.3,(183人评分),180,"
12话 / 2018年4月13日 / 中山勝一 / 賀東招二「フルメタル・パニック！」（ファンタジア文庫 / KADOKAWA） / 堀内修 "
装甲骑兵VOTOMS,8.3,(168人评分),181,"
52话 / 1983年4月1日 / 高橋良輔 / 高橋良輔 / 塩山紀生 "
无限的未知,8.1,(718人评分),182,"
26话 / 1999年10月6日 / 谷口悟朗 / 平井久司 "
机动战舰,8.1,(754人评分),183,"
26话 / 1996年10月1日 / 後藤圭二 "
无头骑士异闻录,8.0,(6919人评分),184,"
26话 / 2010年1月7日 / 大森貴弘 / 成田良悟 / 岸田隆宏 "
魔卡少女樱,8.0,(3607人评分),185,"
70话 / 1998年4月7日 / 浅香守生 / CLAMP (講談社「なかよし」連載) "
命运石之门 0,8.2,(309人评分),186,"
24话 / 2018年4月11日 / 川村賢一(かわむらけんいち) / 志倉千代丸／MAGES. "
四月是你的谎言,8.0,(4368人评分),187,"
22话 / 2014年10月9日 "
小魔女DoReMi 童年秘密篇,8.4,(92人评分),188,"
13话 / 2004年6月26日 "
交响情人梦,8.0,(1520人评分),189,"
23话 / 2007年1月11日 / 島村秀一 "
校园迷糊大王,8.0,(1887人评分),190,"
26话 / 2004年10月5日 / 高松信司 / 小林尽 / 渡辺はじめ "
吹响！悠风号 第二季,8.0,(2420人评分),191,"
13话 / 2016年10月5日 / 武田綾乃 "
超时空要塞,8.1,(655人评分),192,"
36话 / 1982年10月3日 / 石黒昇 / スタジオぬえ "
罗小黑战记,8.1,(693人评分),193,"
2011年3月17日 "
疯狂约会美丽都,8.2,(267人评分),194,"
2003年6月11日 / Sylvain Chomet "
空之境界 第一章 俯瞰风景,8.0,(4451人评分),195,"
1话 / 2007年12月1日 / あおきえい "
太空丹迪,8.0,(1658人评分),196,"
13话 / 2014年1月5日 "
龙珠Z,8.0,(1031人评分),197,"
291话 / 1989年4月26日 / 鳥山明 / 中鶴勝祥 "
悠久之翼,8.0,(2767人评分),198,"
12话 / 2007年10月6日 / 大沼心 / minori、鏡遊、御影 "
机动警察 OVA2,8.2,(168人评分),199,"
16话 / 1990年11月22日 / 吉永尚之 / 高田明美 "
萩萩公主,8.2,(217人评分),200,"
26话 / 2002年8月16日 / 河本昇悟 / 伊藤郁子 "
DARKER THAN BLACK -黑之契约者-,8.0,(4462人评分),201,"
26话 / 2007年4月5日 / 岡村天斎 / BONES、岡村天斎 "
回转企鹅罐,8.0,(5039人评分),202,"
24话 / 2011年7月7日 "
蓝宝石之谜,8.0,(786人评分),203,"
39话 / 1990年4月13日 / 樋口真嗣（第23 - 39話） "
小马驹G4 第四季,8.3,(113人评分),204,"
26话 / 2013年11月23日 "
福星小子2 绮丽梦中人,8.2,(154人评分),205,"
1话 / 1984年2月11日 "
精灵守护者,8.0,(835人评分),206,"
26话 / 2007年4月7日 / 神山健治 / 上橋菜穂子 "
麻辣教师GTO,8.0,(769人评分),207,"
43话 / 1999年6月30日 / 阿部記之 / 藤沢とおる（講談社「少年マガジンKC」刊） / 宇佐美皓一 "
勇者王GaoGaiGar Final,8.2,(158人评分),208,"
8话 / 2000年1月21日 "
人狼,8.0,(632人评分),209,"
1999年11月17日 / 沖浦啓之 / 西尾鉄也、沖浦啓之 "
机动战士高达,8.0,(1145人评分),210,"
43话 / 1979年4月7日 / 富野由悠季 / 矢立肇、富野由悠季 / 安彦良和 "
勇者王GaoGaiGar Final Grand Glorious Gathering,8.3,(135人评分),211,"
12话 / 2005年4月11日 "
爆漫王。,8.0,(3267人评分),212,"
25话 / 2010年10月2日 / カサヰケンイチ、秋田谷典昭 / 小畑健、大場つぐみ / 下谷智之 "
搞笑漫画日和2,8.0,(1750人评分),213,"
12话 / 2006年8月5日 / 大地丙太郎 / 増田こうすけ（集英社『月刊少年ジャンプ』連載） "
寻梦环游记,8.0,(698人评分),214,"
1话 / 2017年11月22日 / Lee Unkrich "
南方公园 第15季,8.1,(230人评分),215,"
14话 / 2011年04月27日 "
银之匙 Silver Spoon 第二季,8.0,(2024人评分),216,"
11话 / 2014年1月9日 / 出合小都美 "
红猪,8.0,(1498人评分),217,"
1话 / 1992年7月18日 / 宮崎駿 / 宮崎駿 "
天体战士 第2期,8.0,(633人评分),218,"
26话 / 2009年10月3日 / 松本剛彦 / 森田和明 "
天体战士,8.0,(932人评分),219,"
26话 / 2008年10月3日 / 岸誠二 / 森田和明 "
男子高中生的日常,8.0,(6751人评分),220,"
12话 / 2012年1月9日 / 山内泰延(掲載「ガンガンONLINE」スクウェア・エニックス刊) "
少年同盟 2,8.0,(1574人评分),221,"
13话 / 2012年4月2日 / 神戸守 / 堀田きいち（掲載 月刊「Gファンタジー」スクウェア・エニックス刊） "
